2026/07/22 20:43,#genre#

央视频道,#genre#
CCTV5+,http://221.232.196.65:7777/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://113.26.251.182:8009/hls/18/index.m3u8
CCTV5+,http://175.171.98.31:777/hls/443969582/index.m3u8
CCTV5+,http://221.232.196.114:7777/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://182.207.218.97:999/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://221.232.196.177:7777/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://111.8.242.104:8088/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://123.175.209.20:9003/hls/6/index.m3u8
CCTV5+,http://223.78.65.165:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://182.150.23.74:808/hls/16/index.m3u8
CCTV5+,http://61.161.61.119:9004/hls/7/index.m3u8
CCTV5+,http://221.232.196.77:7777/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://222.214.208.34:59901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://110.241.188.201:808/hls/17/index.m3u8
CCTV5+,http://112.27.5.218:9901/tsfile/live/faacts/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://120.202.73.48:8888/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://139.227.21.22:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://111.4.59.41:60901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://221.7.175.154:8445/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://221.232.196.65:7777/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://113.26.251.182:8009/hls/6/index.m3u8
CCTV6,http://110.80.17.38:9999/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://175.171.98.31:777/hls/284143533/index.m3u8
